Start Date,Location,Bands,Is Local,Ranking,Rating,Paid,Discount,dist_from_home,drive_time,Scrobbles Before Concert,Album Name,Release Date,Tier,Waited,Venue Location,Full Address,Latitude,Longitude
2024-07-31,"Milwaukee, Wisconsin, United States",Max Niemann and the Fellow Traveles,1,48,3.5,0,Public Park,11.1,17,23,,,,,"Humboldt Park, Milwaukee, Wisconsin, United States","3000 S Howell Ave, Milwaukee, WI 53207",42.9898649,-87.9035086
2024-08-01,"Milwaukee, Wisconsin, United States","Ra Ra Riot, Katy Kirby, Mei Semones, Maximiano",1,49,3.5,1,88nine Member,7.3,13,466,Blue Raspberry (Deluxe),2024-07-12,Top 50,20 day(s),"88Nine Radio Milwaukee Studios, Milwaukee, Wisconsin, United States","225 E Pittsburgh Ave, Milwaukee, WI 53204",43.0296831,-87.9093341
2024-08-02,"Milwaukee, Wisconsin, United States","J.E. Sunde, Caley Conway",1,5,5.0,1,Unknown,9.5,15,86,,,,,"Cactus Club, Milwaukee, Wisconsin, United States","2505 S Wentworth Ave, Milwaukee, WI 53207",42.9990303,-87.890202
2024-08-07,"Milwaukee, Wisconsin, United States",Bats,0,21,4.5,1,Unknown,9.5,15,59,Good Game Baby,2024-03-01,Top 10,159 day(s),"Cactus Club, Milwaukee, Wisconsin, United States","2507 S Wentworth Ave, Milwaukee, WI 53207",42.9990303,-87.890202
2024-08-17,"Milwaukee, Wisconsin, United States","Reyna, Vic and Gab, Eliza Hanson",1,22,4.5,0,Street Team,5.5,16,9,,,,,"Vivarium, Milwaukee, Wisconsin, United States","1832 N Farwell Ave, Milwaukee, WI 53202",43.0543036,-87.8905826
2024-08-21,"Milwaukee, Wisconsin, United States",Talib Kweli,0,18,4.5,0,Summer of Soul,4.8,14,0,,,,,"Peck Pavilion, Marcus Center for the Performing Arts, Milwaukee, Wisconsin, United States","929 N Water St, Milwaukee, WI 53202",43.0430253,-87.9112274
2024-08-23,"Milwaukee, Wisconsin, United States",Maggie Rose,0,14,4.5,0,Street Team,5.5,16,34,No One Gets Out Alive,2024-04-05,Top 25,140 day(s),"Vivarium, Milwaukee, Wisconsin, United States","1835 N Farwell Ave, Milwaukee, WI 53202",43.0543036,-87.8905826
2024-09-04,"Milwaukee, Wisconsin, United States","Silversun Pickups, Speedy Ortiz",0,46,3.5,0,Rave Contest,4.9,10,60,,,,,"The Rave, Milwaukee, Wisconsin, United States","2402 W Wisconsin Ave, Milwaukee, WI 53233",43.0379219,-87.9433191
2024-09-07,"Milwaukee, Wisconsin, United States","Maximiano, Long Mama, King Courteen",1,8,5.0,1,Unknown,9.5,15,45,The Real Truth,2024-09-07,Top 25,0 day(s),"Cactus Club, Milwaukee, Wisconsin, United States","2508 S Wentworth Ave, Milwaukee, WI 53207",42.9990303,-87.890202
2024-09-14,"Cudahy, Wisconsin, United States","Charlie Bliss, Raffaella",1,10,4.5,1,Unknown,13.8,21,6,,,,,"X-Ray Arcade, Cudahy, Wisconsin, United States","5036 S Packard Ave, Cudahy, WI 53110",42.9529484,-87.859709
2024-09-17,"Milwaukee, Wisconsin, United States","Arlo Parks, Social Cig",0,55,3.0,0,Rave Contest,4.9,10,166,Collapsed In Sunbeams,2021-01-29,Top 25,1327 day(s),"The Rave, Milwaukee, Wisconsin, United States","2404 W Wisconsin Ave, Milwaukee, WI 53233",43.0379219,-87.9433191
2024-09-20,"Milwaukee, Wisconsin, United States","Dessa, Wave Chapelle",1,23,4.5,0,Street Team,5.5,16,488,Can't Stop Won't Stop,2023-05-05,Top 100,504 day(s),"Vivarium, Milwaukee, Wisconsin, United States","1836 N Farwell Ave, Milwaukee, WI 53202",43.0543036,-87.8905826
2024-09-29,"Milwaukee, Wisconsin, United States","Kaitlin Butts, Angel White",0,24,4.5,0,Street Team,5.5,16,89,Roadrunner!,2024-06-28,Top 50,93 day(s),"Vivarium, Milwaukee, Wisconsin, United States","1838 N Farwell Ave, Milwaukee, WI 53202",43.0543036,-87.8905826
2024-10-04,"Milwaukee, Wisconsin, United States","Yard Act, Marika Hackman, Art School Girlfriend",0,27,4.0,1,Unknown,7.3,13,411,Where’s My Utopia?,2024-03-01,Top 100,217 day(s),"88Nine Radio Milwaukee Studios, Milwaukee, Wisconsin, United States","226 E Pittsburgh Ave, Milwaukee, WI 53204",43.0296831,-87.9093341
2024-10-11,"Milwaukee, Wisconsin, United States","Horseshoes & Hand Grenades, Ladybird",1,38,4.0,0,Street Team,4.9,14,16,Amy Come on Home,2024-05-17,Top 100,147 day(s),"Pabst Theater, Milwaukee, Wisconsin, United States","149 E Wells St, Milwaukee, WI 53202",43.0411402,-87.9104618
2024-10-18,"Milwaukee, Wisconsin, United States",Jacob Slade,1,51,3.5,0,Public Park,6.4,12,121,Soft Spoken,2023-10-13,Top 25,371 day(s),"Riverwalk Commons, Milwaukee, Wisconsin, United States","423 N Water St, Milwaukee, WI 53202",43.0353403,-87.9089112
2024-10-24,"Milwaukee, Wisconsin, United States","The Nunnery, Dosh, Luke Callen, Maximiano",1,57,2.5,1,Unknown,9.5,15,285,Floating Gardens,2022-01-14,Top 25,1014 day(s),"Cactus Club, Milwaukee, Wisconsin, United States","2511 S Wentworth Ave, Milwaukee, WI 53207",42.9990303,-87.890202
2024-11-02,"Milwaukee, Wisconsin, United States","The Menzingers, Direct Hit!, Holy Pinto",1,15,4.5,0,Rave Contest,4.9,10,47,Some Of It Was True,2023-10-13,Top 50,386 day(s),"The Rave, Milwaukee, Wisconsin, United States","2406 W Wisconsin Ave, Milwaukee, WI 53233",43.0379219,-87.9433191
2024-11-09,"Milwaukee, Wisconsin, United States","Haley Heynderickx, Lily Breshears",0,7,5.0,0,Street Team,5.5,16,134,Seed of a Seed,2024-11-01,Top 25,8 day(s),"Vivarium, Milwaukee, Wisconsin, United States","1842 N Farwell Ave, Milwaukee, WI 53202",43.0543036,-87.8905826
2024-11-13,"Milwaukee, Wisconsin, United States","Modest Mouse, The Black Heart Procession",0,39,4.0,1,Unknown,5.5,12,89,,,,,"The Riverside Theater, Milwaukee, Wisconsin, United States","120 W Wisconsin Ave, Milwaukee, WI 53203",43.0388947,-87.9109327
2024-12-26,"Milwaukee, Wisconsin, United States","Johanna Rose, Ellie Jackson, Bitch Creek",1,26,4.5,1,Unknown,9.5,15,16,,,,,"Cactus Club, Milwaukee, Wisconsin, United States","2516 S Wentworth Ave, Milwaukee, WI 53207",42.9990303,-87.890202
