Start Date,Ranking,Bands,Venue,Location,Rating,Paid,Discount,capacity,Is Local,dist_from_home,drive_time,Scrobbles Before Concert,Album Name,Release Date,Tier,Waited,Venue Location,Full Address,Latitude,Longitude,Venue_Bands_Complete,LongTerm_Start Date,LongTerm_Bands,LongTerm_Venue,LongTerm_Location
2024-08-07,21.0,Bats,Cactus Club,"Milwaukee, Wisconsin, United States",4.5,1.0,,150.0,0.0,9.5,15.0,59.0,Good Game Baby,2024-03-01,Top 10,159 day(s),"Cactus Club, Milwaukee, Wisconsin, United States","2507 S Wentworth Ave, Milwaukee, WI 53207",42.9990303,-87.890202,"Willi Carlisle, Golden Shoals, Barely Civil, Overhand, Known Moons, Magazine Beach, Katy Kirby, Mei Semones, Maximiano, J.E. Sunde, Caley Conway, Bats, Maximiano, Long Mama, King Courteen, The Nunnery, Dosh, Luke Callen, Maximiano, Johanna Rose, Ellie Jackson, Bitch Creek",2024-08-07,Bats,Cactus Club,"Milwaukee, Wisconsin, United States"
2024-08-17,22.0,"Reyna, Vic and Gab, Eliza Hanson",Vivarium,"Milwaukee, Wisconsin, United States",4.5,0.0,Street Team,450.0,1.0,5.5,16.0,9.0,,,,,"Vivarium, Milwaukee, Wisconsin, United States","1832 N Farwell Ave, Milwaukee, WI 53202",43.0543036,-87.8905826,"Wave Chapelle, ADORNER, Molly Grace, The Wonderlands (US), Diet Lite, Motel Breakfast, Ladybird, Sun June, Wild Pink, Sinai Vessel, Real Estate, Marina Allen, Durry, Lunar Moth, Reyna, Vic and Gab, Eliza Hanson, Maggie Rose, Dessa, Wave Chapelle, Kaitlin Butts, Angel White, Marika Hackman, Art School Girlfriend, Haley Heynderickx, Lily Breshears",2024-08-17,"Reyna, Vic and Gab, Eliza Hanson",Vivarium,"Milwaukee, Wisconsin, United States"
2024-09-20,23.0,"Dessa, Wave Chapelle",Vivarium,"Milwaukee, Wisconsin, United States",4.5,0.0,Street Team,450.0,1.0,5.5,16.0,488.0,Can't Stop Won't Stop,2023-05-05,Top 100,504 day(s),"Vivarium, Milwaukee, Wisconsin, United States","1836 N Farwell Ave, Milwaukee, WI 53202",43.0543036,-87.8905826,"Wave Chapelle, ADORNER, Molly Grace, The Wonderlands (US), Diet Lite, Motel Breakfast, Ladybird, Sun June, Wild Pink, Sinai Vessel, Real Estate, Marina Allen, Durry, Lunar Moth, Reyna, Vic and Gab, Eliza Hanson, Maggie Rose, Dessa, Wave Chapelle, Kaitlin Butts, Angel White, Marika Hackman, Art School Girlfriend, Haley Heynderickx, Lily Breshears",2024-09-20,"Dessa, Wave Chapelle",Vivarium,"Milwaukee, Wisconsin, United States"
2024-09-29,24.0,"Kaitlin Butts, Angel White",Vivarium,"Milwaukee, Wisconsin, United States",4.5,0.0,Street Team,450.0,0.0,5.5,16.0,89.0,Roadrunner!,2024-06-28,Top 50,93 day(s),"Vivarium, Milwaukee, Wisconsin, United States","1838 N Farwell Ave, Milwaukee, WI 53202",43.0543036,-87.8905826,"Wave Chapelle, ADORNER, Molly Grace, The Wonderlands (US), Diet Lite, Motel Breakfast, Ladybird, Sun June, Wild Pink, Sinai Vessel, Real Estate, Marina Allen, Durry, Lunar Moth, Reyna, Vic and Gab, Eliza Hanson, Maggie Rose, Dessa, Wave Chapelle, Kaitlin Butts, Angel White, Marika Hackman, Art School Girlfriend, Haley Heynderickx, Lily Breshears",2024-09-29,"Kaitlin Butts, Angel White",Vivarium,"Milwaukee, Wisconsin, United States"
2024-03-07,25.0,"Max Niemann and the Fellow Traveles, Jacob Slade, Holy Pinto",Linneman's Riverwest Inn,"Milwaukee, Wisconsin, United States",4.5,1.0,,160.0,1.0,4.2,12.0,136.0,Soft Spoken,2023-10-13,Top 25,146 day(s),"Linneman's Riverwest Inn, Milwaukee, Wisconsin, United States","1001 E Locust St, Milwaukee, WI 53212",43.0710064,-87.8989484,"Max Niemann and the Fellow Traveles, Jacob Slade, Holy Pinto",2024-03-07,"Max Niemann and the Fellow Traveles, Jacob Slade, Holy Pinto",Linneman's Riverwest Inn,"Milwaukee, Wisconsin, United States"
2024-12-26,26.0,"Johanna Rose, Ellie Jackson, Bitch Creek",Cactus Club,"Milwaukee, Wisconsin, United States",4.5,1.0,,150.0,1.0,9.5,15.0,16.0,,,,,"Cactus Club, Milwaukee, Wisconsin, United States","2516 S Wentworth Ave, Milwaukee, WI 53207",42.9990303,-87.890202,"Willi Carlisle, Golden Shoals, Barely Civil, Overhand, Known Moons, Magazine Beach, Katy Kirby, Mei Semones, Maximiano, J.E. Sunde, Caley Conway, Bats, Maximiano, Long Mama, King Courteen, The Nunnery, Dosh, Luke Callen, Maximiano, Johanna Rose, Ellie Jackson, Bitch Creek",2024-12-26,"Johanna Rose, Ellie Jackson, Bitch Creek",Cactus Club,"Milwaukee, Wisconsin, United States"
2024-10-04,27.0,"Marika Hackman, Art School Girlfriend",Vivarium,"Milwaukee, Wisconsin, United States",4.0,0.0,Street Team,450.0,0.0,5.5,16.0,340.0,Big Sigh,2024-01-12,Top 25,266 day(s),"Vivarium, Milwaukee, Wisconsin, United States","1840 N Farwell Ave, Milwaukee, WI 53202",43.0543036,-87.8905826,"Wave Chapelle, ADORNER, Molly Grace, The Wonderlands (US), Diet Lite, Motel Breakfast, Ladybird, Sun June, Wild Pink, Sinai Vessel, Real Estate, Marina Allen, Durry, Lunar Moth, Reyna, Vic and Gab, Eliza Hanson, Maggie Rose, Dessa, Wave Chapelle, Kaitlin Butts, Angel White, Marika Hackman, Art School Girlfriend, Haley Heynderickx, Lily Breshears",2024-10-04,"Marika Hackman, Art School Girlfriend",Vivarium,"Milwaukee, Wisconsin, United States"
2024-02-03,28.0,"Wave Chapelle, Dak Dubois, Scam Likely, Sleepy Groucho",88Nine Radio Milwaukee Studios,"Milwaukee, Wisconsin, United States",4.0,1.0,,100.0,1.0,7.3,13.0,465.0,Can't Stop Won't Stop,2023-05-05,Top 100,274 day(s),"88Nine Radio Milwaukee Studios, Milwaukee, Wisconsin, United States","220 E Pittsburgh Ave, Milwaukee, WI 53204",43.0296831,-87.9093341,"Wave Chapelle, Dak Dubois, Scam Likely, Sleepy Groucho, eliza mclamb, Ra Ra Riot, Yard Act",2024-02-03,"Wave Chapelle, Dak Dubois, Scam Likely, Sleepy Groucho",88Nine Radio Milwaukee Studios,"Milwaukee, Wisconsin, United States"
2024-06-12,29.0,"Wilco, Cut Worms",The Riverside Theater,"Milwaukee, Wisconsin, United States",4.0,0.0,Street Team,2450.0,0.0,5.5,12.0,124.0,,,,,"The Riverside Theater, Milwaukee, Wisconsin, United States","118 W Wisconsin Ave, Milwaukee, WI 53203",43.0388947,-87.9109327,"Sierra Ferrell, Cat Clyde, Wilco, Cut Worms, Modest Mouse, The Black Heart Procession",2024-06-12,"Wilco, Cut Worms",The Riverside Theater,"Milwaukee, Wisconsin, United States"
2024-03-27,30.0,"Sun June, Wild Pink, Sinai Vessel",Vivarium,"Milwaukee, Wisconsin, United States",4.0,0.0,Street Team,450.0,0.0,5.5,16.0,271.0,Dulling The Horns,2024-10-04,Top 50,,"Vivarium, Milwaukee, Wisconsin, United States","1825 N Farwell Ave, Milwaukee, WI 53202",43.0543036,-87.8905826,"Wave Chapelle, ADORNER, Molly Grace, The Wonderlands (US), Diet Lite, Motel Breakfast, Ladybird, Sun June, Wild Pink, Sinai Vessel, Real Estate, Marina Allen, Durry, Lunar Moth, Reyna, Vic and Gab, Eliza Hanson, Maggie Rose, Dessa, Wave Chapelle, Kaitlin Butts, Angel White, Marika Hackman, Art School Girlfriend, Haley Heynderickx, Lily Breshears",2024-03-27,"Sun June, Wild Pink, Sinai Vessel",Vivarium,"Milwaukee, Wisconsin, United States"
